Estados;Despesa Total;Casos novos;Casos pendentes;Magistrados;Servidores e Aux
AC;269872569;64192;119548;69;1867
AL;511877278;146885;528953;159;2769
AM;863260794;220213;741489;204;3192
AM;310338120;76201;99146;77;1696
BA;3698069245;1333109;2769964;582;13399
CE;1226752462;403224;1223033;402;5904
DF;2741990960;416972;654928;386;11136
ES;1369999253;303719;932333;337;6906
GO;1940334484;541049;1568864;465;11824
MA;1200343245;327959;1083266;342;5711
MG;5098319857;1717862;3942814;1.030;27847
MS;1015444715;354931;896972;210;5472
MT;1515295623;452679;1034803;276;8468
PA;1223694930;247314;1006926;347;6634
PB;770286844;220528;671689;285;5208
PE;1565695622;791951;2333480;536;9398
PI;614561719;177286;540150;200;3205
PR;2795081513;1078505;3790807;910;18673
RJ;4345519367;2044793;10946231;897;25803
RN;1018394743;245590;550065;247;5028
RO;643435410;248894;346271;144;3626
RR;229056409;50855;62254;56;1338
RS;3009619024;1460369;2981528;804;16573
SC;2103775697;789166;3234602;509;12698
SE;596883632;241092;350195;158;4084
SP;12296088201;5448859;20258140;2.709;68852
TO;569981174;175117;319591;131;3073
